Module BUILD 1.6 Loaded.
Module slurm/2.6.2 loaded 
Module angsd/570 loaded 
Command:
angsd -i /home/beissing/BAMLINKS/TDD39103_merged.bam -doFasta 1 -out /home/beissing/Dom_Bot_Git/DATA/TRIP 
	-> angsd version: 0.570	 build(Dec 27 2013 14:02:03)
	-> Parsing 1 number of samples 
No data for chromoId=0 chromoname=scaffold_68
This could either indicate that there really is no data for this chromosome
Or it could be problem with this program regSize=0 notDone=1
	-> Printing at chr: scaffold_206 pos:747 chunknumber 100
	-> Printing at chr: scaffold_287 pos:954 chunknumber 200
	-> Printing at chr: scaffold_408 pos:0 chunknumber 300
	-> Printing at chr: scaffold_49 pos:1135 chunknumber 400
	-> Printing at chr: scaffold_210 pos:0 chunknumber 500
	-> Printing at chr: scaffold_499 pos:48508 chunknumber 600
	-> Printing at chr: scaffold_499 pos:94803 chunknumber 700
	-> Printing at chr: scaffold_499 pos:120347 chunknumber 800
	-> Printing at chr: scaffold_499 pos:122191 chunknumber 900
	-> Printing at chr: Pt pos:524 chunknumber 1000
	-> Printing at chr: Pt pos:801 chunknumber 1100
	-> Printing at chr: Pt pos:1123 chunknumber 1200
	-> Printing at chr: Pt pos:1758 chunknumber 1300
	-> Printing at chr: Pt pos:2019 chunknumber 1400
	-> Printing at chr: Pt pos:2183 chunknumber 1500
	-> Printing at chr: Pt pos:2407 chunknumber 1600
	-> Printing at chr: Pt pos:2741 chunknumber 1700
	-> Printing at chr: Pt pos:3194 chunknumber 1800
	-> Printing at chr: Pt pos:3780 chunknumber 1900
	-> Printing at chr: Pt pos:4173 chunknumber 2000
	-> Printing at chr: Pt pos:4409 chunknumber 2100
	-> Printing at chr: Pt pos:4589 chunknumber 2200
	-> Printing at chr: Pt pos:4745 chunknumber 2300
	-> Printing at chr: Pt pos:5004 chunknumber 2400
	-> Printing at chr: Pt pos:5242 chunknumber 2500
	-> Printing at chr: Pt pos:5560 chunknumber 2600
	-> Printing at chr: Pt pos:5862 chunknumber 2700
	-> Printing at chr: Pt pos:6183 chunknumber 2800
	-> Printing at chr: Pt pos:6553 chunknumber 2900
	-> Printing at chr: Pt pos:6787 chunknumber 3000
	-> Printing at chr: Pt pos:6942 chunknumber 3100
	-> Printing at chr: Pt pos:7081 chunknumber 3200
	-> Printing at chr: Pt pos:7238 chunknumber 3300
	-> Printing at chr: Pt pos:7385 chunknumber 3400
	-> Printing at chr: Pt pos:7538 chunknumber 3500
	-> Printing at chr: Pt pos:7698 chunknumber 3600
	-> Printing at chr: Pt pos:7836 chunknumber 3700
	-> Printing at chr: Pt pos:8021 chunknumber 3800
	-> Printing at chr: Pt pos:8171 chunknumber 3900
	-> Printing at chr: Pt pos:8315 chunknumber 4000
	-> Printing at chr: Pt pos:8484 chunknumber 4100
	-> Printing at chr: Pt pos:8637 chunknumber 4200
	-> Printing at chr: Pt pos:8791 chunknumber 4300
	-> Printing at chr: Pt pos:8977 chunknumber 4400
	-> Printing at chr: Pt pos:9194 chunknumber 4500
	-> Printing at chr: Pt pos:9391 chunknumber 4600
	-> Printing at chr: Pt pos:9603 chunknumber 4700
	-> Printing at chr: Pt pos:9803 chunknumber 4800
	-> Printing at chr: Pt pos:10011 chunknumber 4900
	-> Printing at chr: Pt pos:10268 chunknumber 5000
	-> Printing at chr: Pt pos:10457 chunknumber 5100
	-> Printing at chr: Pt pos:10720 chunknumber 5200
	-> Printing at chr: Pt pos:10913 chunknumber 5300
	-> Printing at chr: Pt pos:11103 chunknumber 5400
	-> Printing at chr: Pt pos:11303 chunknumber 5500
	-> Printing at chr: Pt pos:11565 chunknumber 5600
	-> Printing at chr: Pt pos:11953 chunknumber 5700
	-> Printing at chr: Pt pos:12448 chunknumber 5800
	-> Printing at chr: Pt pos:12766 chunknumber 5900
	-> Printing at chr: Pt pos:12997 chunknumber 6000
	-> Printing at chr: Pt pos:13261 chunknumber 6100
	-> Printing at chr: Pt pos:13510 chunknumber 6200
	-> Printing at chr: Pt pos:13753 chunknumber 6300
	-> Printing at chr: Pt pos:13914 chunknumber 6400
	-> Printing at chr: Pt pos:14095 chunknumber 6500
	-> Printing at chr: Pt pos:14267 chunknumber 6600
	-> Printing at chr: Pt pos:14419 chunknumber 6700
	-> Printing at chr: Pt pos:14593 chunknumber 6800
	-> Printing at chr: Pt pos:14745 chunknumber 6900
	-> Printing at chr: Pt pos:14908 chunknumber 7000
	-> Printing at chr: Pt pos:15111 chunknumber 7100
	-> Printing at chr: Pt pos:15301 chunknumber 7200
	-> Printing at chr: Pt pos:15790 chunknumber 7300
	-> Printing at chr: Pt pos:16251 chunknumber 7400
	-> Printing at chr: Pt pos:16918 chunknumber 7500
	-> Printing at chr: Pt pos:17358 chunknumber 7600
	-> Printing at chr: Pt pos:17835 chunknumber 7700
	-> Printing at chr: Pt pos:18222 chunknumber 7800
	-> Printing at chr: Pt pos:18658 chunknumber 7900
	-> Printing at chr: Pt pos:19615 chunknumber 8000
	-> Printing at chr: Pt pos:20834 chunknumber 8100
	-> Printing at chr: Pt pos:21316 chunknumber 8200
	-> Printing at chr: Pt pos:21699 chunknumber 8300
	-> Printing at chr: Pt pos:22014 chunknumber 8400
	-> Printing at chr: Pt pos:22258 chunknumber 8500
	-> Printing at chr: Pt pos:22536 chunknumber 8600
	-> Printing at chr: Pt pos:22885 chunknumber 8700
	-> Printing at chr: Pt pos:23403 chunknumber 8800
	-> Printing at chr: Pt pos:23832 chunknumber 8900
	-> Printing at chr: Pt pos:24293 chunknumber 9000
	-> Printing at chr: Pt pos:24814 chunknumber 9100
	-> Printing at chr: Pt pos:25402 chunknumber 9200
	-> Printing at chr: Pt pos:25675 chunknumber 9300
	-> Printing at chr: Pt pos:25928 chunknumber 9400
	-> Printing at chr: Pt pos:26107 chunknumber 9500
	-> Printing at chr: Pt pos:26346 chunknumber 9600
	-> Printing at chr: Pt pos:26597 chunknumber 9700
	-> Printing at chr: Pt pos:26976 chunknumber 9800
	-> Printing at chr: Pt pos:27613 chunknumber 9900
	-> Printing at chr: Pt pos:28328 chunknumber 10000
	-> Printing at chr: Pt pos:29310 chunknumber 10100
	-> Printing at chr: Pt pos:30004 chunknumber 10200
	-> Printing at chr: Pt pos:30602 chunknumber 10300
	-> Printing at chr: Pt pos:31060 chunknumber 10400
	-> Printing at chr: Pt pos:31465 chunknumber 10500
	-> Printing at chr: Pt pos:31884 chunknumber 10600
	-> Printing at chr: Pt pos:32408 chunknumber 10700
	-> Printing at chr: Pt pos:32888 chunknumber 10800
	-> Printing at chr: Pt pos:33160 chunknumber 10900
	-> Printing at chr: Pt pos:33473 chunknumber 11000
	-> Printing at chr: Pt pos:33803 chunknumber 11100
	-> Printing at chr: Pt pos:33987 chunknumber 11200
	-> Printing at chr: Pt pos:34331 chunknumber 11300
	-> Printing at chr: Pt pos:34813 chunknumber 11400
	-> Printing at chr: Pt pos:35229 chunknumber 11500
	-> Printing at chr: Pt pos:35627 chunknumber 11600
	-> Printing at chr: Pt pos:36193 chunknumber 11700
	-> Printing at chr: Pt pos:36777 chunknumber 11800
	-> Printing at chr: Pt pos:37174 chunknumber 11900
	-> Printing at chr: Pt pos:37608 chunknumber 12000
	-> Printing at chr: Pt pos:37956 chunknumber 12100
	-> Printing at chr: Pt pos:38158 chunknumber 12200
	-> Printing at chr: Pt pos:38421 chunknumber 12300
	-> Printing at chr: Pt pos:38666 chunknumber 12400
	-> Printing at chr: Pt pos:39235 chunknumber 12500
	-> Printing at chr: Pt pos:39759 chunknumber 12600
	-> Printing at chr: Pt pos:40434 chunknumber 12700
	-> Printing at chr: Pt pos:40811 chunknumber 12800
	-> Printing at chr: Pt pos:41139 chunknumber 12900
	-> Printing at chr: Pt pos:41502 chunknumber 13000
	-> Printing at chr: Pt pos:42261 chunknumber 13100
	-> Printing at chr: Pt pos:42854 chunknumber 13200
	-> Printing at chr: Pt pos:43396 chunknumber 13300
	-> Printing at chr: Pt pos:44031 chunknumber 13400
	-> Printing at chr: Pt pos:44571 chunknumber 13500
	-> Printing at chr: Pt pos:45065 chunknumber 13600
	-> Printing at chr: Pt pos:45582 chunknumber 13700
	-> Printing at chr: Pt pos:45992 chunknumber 13800
	-> Printing at chr: Pt pos:46411 chunknumber 13900
	-> Printing at chr: Pt pos:46610 chunknumber 14000
	-> Printing at chr: Pt pos:46925 chunknumber 14100
	-> Printing at chr: Pt pos:47277 chunknumber 14200
	-> Printing at chr: Pt pos:47723 chunknumber 14300
	-> Printing at chr: Pt pos:48646 chunknumber 14400
	-> Printing at chr: Pt pos:49045 chunknumber 14500
	-> Printing at chr: Pt pos:49274 chunknumber 14600
	-> Printing at chr: Pt pos:49776 chunknumber 14700
	-> Printing at chr: Pt pos:50186 chunknumber 14800
	-> Printing at chr: Pt pos:50748 chunknumber 14900
	-> Printing at chr: Pt pos:51332 chunknumber 15000
	-> Printing at chr: Pt pos:52021 chunknumber 15100
	-> Printing at chr: Pt pos:52263 chunknumber 15200
	-> Printing at chr: Pt pos:52476 chunknumber 15300
	-> Printing at chr: Pt pos:52662 chunknumber 15400
	-> Printing at chr: Pt pos:52876 chunknumber 15500
	-> Printing at chr: Pt pos:53112 chunknumber 15600
	-> Printing at chr: Pt pos:53331 chunknumber 15700
	-> Printing at chr: Pt pos:53697 chunknumber 15800
	-> Printing at chr: Pt pos:54104 chunknumber 15900
	-> Printing at chr: Pt pos:54811 chunknumber 16000
	-> Printing at chr: Pt pos:55529 chunknumber 16100
	-> Printing at chr: Pt pos:56124 chunknumber 16200
	-> Printing at chr: Pt pos:57641 chunknumber 16300
	-> Printing at chr: Pt pos:58735 chunknumber 16400
	-> Printing at chr: Pt pos:59390 chunknumber 16500
	-> Printing at chr: Pt pos:59869 chunknumber 16600
	-> Printing at chr: Pt pos:60600 chunknumber 16700
	-> Printing at chr: Pt pos:61279 chunknumber 16800
	-> Printing at chr: Pt pos:62027 chunknumber 16900
	-> Printing at chr: Pt pos:63271 chunknumber 17000
	-> Printing at chr: Pt pos:64064 chunknumber 17100
	-> Printing at chr: Pt pos:64495 chunknumber 17200
	-> Printing at chr: Pt pos:64761 chunknumber 17300
	-> Printing at chr: Pt pos:65155 chunknumber 17400
	-> Printing at chr: Pt pos:65722 chunknumber 17500
	-> Printing at chr: Pt pos:66515 chunknumber 17600
	-> Printing at chr: Pt pos:67095 chunknumber 17700
	-> Printing at chr: Pt pos:67473 chunknumber 17800
	-> Printing at chr: Pt pos:67831 chunknumber 17900
	-> Printing at chr: Pt pos:68205 chunknumber 18000
	-> Printing at chr: Pt pos:68621 chunknumber 18100
	-> Printing at chr: Pt pos:69675 chunknumber 18200
	-> Printing at chr: Pt pos:70355 chunknumber 18300
	-> Printing at chr: Pt pos:70692 chunknumber 18400
	-> Printing at chr: Pt pos:70940 chunknumber 18500
	-> Printing at chr: Pt pos:71191 chunknumber 18600
	-> Printing at chr: Pt pos:71486 chunknumber 18700
	-> Printing at chr: Pt pos:71856 chunknumber 18800
	-> Printing at chr: Pt pos:72212 chunknumber 18900
	-> Printing at chr: Pt pos:72531 chunknumber 19000
	-> Printing at chr: Pt pos:72749 chunknumber 19100
	-> Printing at chr: Pt pos:72965 chunknumber 19200
	-> Printing at chr: Pt pos:73291 chunknumber 19300
	-> Printing at chr: Pt pos:73988 chunknumber 19400
	-> Printing at chr: Pt pos:74408 chunknumber 19500
	-> Printing at chr: Pt pos:74628 chunknumber 19600
	-> Printing at chr: Pt pos:74882 chunknumber 19700
	-> Printing at chr: Pt pos:75149 chunknumber 19800
	-> Printing at chr: Pt pos:75498 chunknumber 19900
	-> Printing at chr: Pt pos:75872 chunknumber 20000
	-> Printing at chr: Pt pos:76167 chunknumber 20100
	-> Printing at chr: Pt pos:76484 chunknumber 20200
	-> Printing at chr: Pt pos:76780 chunknumber 20300
	-> Printing at chr: Pt pos:77091 chunknumber 20400
	-> Printing at chr: Pt pos:77381 chunknumber 20500
	-> Printing at chr: Pt pos:77667 chunknumber 20600
	-> Printing at chr: Pt pos:77937 chunknumber 20700
	-> Printing at chr: Pt pos:78089 chunknumber 20800
	-> Printing at chr: Pt pos:78346 chunknumber 20900
	-> Printing at chr: Pt pos:78555 chunknumber 21000
	-> Printing at chr: Pt pos:78749 chunknumber 21100
	-> Printing at chr: Pt pos:78978 chunknumber 21200
	-> Printing at chr: Pt pos:79162 chunknumber 21300
	-> Printing at chr: Pt pos:79395 chunknumber 21400
	-> Printing at chr: Pt pos:79635 chunknumber 21500
	-> Printing at chr: Pt pos:79797 chunknumber 21600
	-> Printing at chr: Pt pos:80078 chunknumber 21700
	-> Printing at chr: Pt pos:80227 chunknumber 21800
	-> Printing at chr: Pt pos:80528 chunknumber 21900
	-> Printing at chr: Pt pos:81171 chunknumber 22000
	-> Printing at chr: Pt pos:81510 chunknumber 22100
	-> Printing at chr: Pt pos:81779 chunknumber 22200
	-> Printing at chr: Pt pos:81971 chunknumber 22300
	-> Printing at chr: Pt pos:82188 chunknumber 22400
	-> Printing at chr: Pt pos:82403 chunknumber 22500
	-> Printing at chr: Pt pos:82680 chunknumber 22600
	-> Printing at chr: Pt pos:83188 chunknumber 22700
	-> Printing at chr: Pt pos:83794 chunknumber 22800
	-> Printing at chr: Pt pos:84305 chunknumber 22900
	-> Printing at chr: Pt pos:84696 chunknumber 23000
	-> Printing at chr: Pt pos:85077 chunknumber 23100
	-> Printing at chr: Pt pos:85600 chunknumber 23200
	-> Printing at chr: Pt pos:86253 chunknumber 23300
	-> Printing at chr: Pt pos:86886 chunknumber 23400
	-> Printing at chr: Pt pos:87338 chunknumber 23500
	-> Printing at chr: Pt pos:87789 chunknumber 23600
	-> Printing at chr: Pt pos:88188 chunknumber 23700
	-> Printing at chr: Pt pos:88666 chunknumber 23800
	-> Printing at chr: Pt pos:89239 chunknumber 23900
	-> Printing at chr: Pt pos:89790 chunknumber 24000
	-> Printing at chr: Pt pos:90417 chunknumber 24100
	-> Printing at chr: Pt pos:90977 chunknumber 24200
	-> Printing at chr: Pt pos:91471 chunknumber 24300
	-> Printing at chr: Pt pos:92021 chunknumber 24400
	-> Printing at chr: Pt pos:92658 chunknumber 24500
	-> Printing at chr: Pt pos:93638 chunknumber 24600
	-> Printing at chr: Pt pos:94676 chunknumber 24700
	-> Printing at chr: Pt pos:95488 chunknumber 24800
	-> Printing at chr: Pt pos:96732 chunknumber 24900
	-> Printing at chr: Pt pos:98827 chunknumber 25000
	-> Printing at chr: Pt pos:102455 chunknumber 25100
	-> Printing at chr: Pt pos:103531 chunknumber 25200
	-> Printing at chr: Pt pos:104560 chunknumber 25300
	-> Printing at chr: Pt pos:105404 chunknumber 25400
	-> Printing at chr: Pt pos:106239 chunknumber 25500
	-> Printing at chr: Pt pos:107125 chunknumber 25600
	-> Printing at chr: Pt pos:107523 chunknumber 25700
	-> Printing at chr: Pt pos:108315 chunknumber 25800
	-> Printing at chr: Pt pos:108689 chunknumber 25900
	-> Printing at chr: Pt pos:109038 chunknumber 26000
	-> Printing at chr: Pt pos:109305 chunknumber 26100
	-> Printing at chr: Pt pos:109494 chunknumber 26200
	-> Printing at chr: Pt pos:109737 chunknumber 26300
	-> Printing at chr: Pt pos:110089 chunknumber 26400
	-> Printing at chr: Pt pos:110339 chunknumber 26500
	-> Printing at chr: Pt pos:110580 chunknumber 26600
	-> Printing at chr: Pt pos:110782 chunknumber 26700
	-> Printing at chr: Pt pos:111091 chunknumber 26800
	-> Printing at chr: Pt pos:111256 chunknumber 26900
	-> Printing at chr: Pt pos:111538 chunknumber 27000
	-> Printing at chr: Pt pos:111800 chunknumber 27100
	-> Printing at chr: Pt pos:112139 chunknumber 27200
	-> Printing at chr: Pt pos:112527 chunknumber 27300
	-> Printing at chr: Pt pos:112877 chunknumber 27400
	-> Printing at chr: Pt pos:113169 chunknumber 27500
	-> Printing at chr: Pt pos:113428 chunknumber 27600
	-> Printing at chr: Pt pos:113776 chunknumber 27700
	-> Printing at chr: Pt pos:114166 chunknumber 27800
	-> Printing at chr: Pt pos:114540 chunknumber 27900
	-> Printing at chr: Pt pos:114901 chunknumber 28000
	-> Printing at chr: Pt pos:115253 chunknumber 28100
	-> Printing at chr: Pt pos:115575 chunknumber 28200
	-> Printing at chr: Pt pos:116029 chunknumber 28300
	-> Printing at chr: Pt pos:116608 chunknumber 28400
	-> Printing at chr: Pt pos:117337 chunknumber 28500
	-> Printing at chr: Pt pos:117947 chunknumber 28600
	-> Printing at chr: Pt pos:118835 chunknumber 28700
	-> Printing at chr: Pt pos:119903 chunknumber 28800
	-> Printing at chr: Pt pos:123421 chunknumber 28900
	-> Printing at chr: Pt pos:125567 chunknumber 29000
	-> Printing at chr: Pt pos:127089 chunknumber 29100
	-> Printing at chr: Pt pos:127909 chunknumber 29200
	-> Printing at chr: Pt pos:128961 chunknumber 29300
	-> Printing at chr: Pt pos:129935 chunknumber 29400
	-> Printing at chr: Pt pos:130610 chunknumber 29500
	-> Printing at chr: Pt pos:131164 chunknumber 29600
	-> Printing at chr: Pt pos:131653 chunknumber 29700
	-> Printing at chr: Pt pos:132222 chunknumber 29800
	-> Printing at chr: Pt pos:132852 chunknumber 29900
	-> Printing at chr: Pt pos:133406 chunknumber 30000
	-> Printing at chr: Pt pos:133986 chunknumber 30100
	-> Printing at chr: Pt pos:134462 chunknumber 30200
	-> Printing at chr: Pt pos:134885 chunknumber 30300
	-> Printing at chr: Pt pos:135340 chunknumber 30400
	-> Printing at chr: Pt pos:135813 chunknumber 30500
	-> Printing at chr: Pt pos:136521 chunknumber 30600
	-> Printing at chr: Pt pos:137209 chunknumber 30700
	-> Printing at chr: Pt pos:137640 chunknumber 30800
	-> Printing at chr: Pt pos:138008 chunknumber 30900
	-> Printing at chr: Pt pos:138435 chunknumber 31000
	-> Printing at chr: Pt pos:138978 chunknumber 31100
	-> Printing at chr: Pt pos:139629 chunknumber 31200
	-> Printing at chr: scaffold_505 pos:310 chunknumber 31300
	-> Printing at chr: scaffold_505 pos:2998 chunknumber 31400
	-> Printing at chr: scaffold_505 pos:3999 chunknumber 31500
	-> Printing at chr: scaffold_505 pos:4872 chunknumber 31600
	-> Printing at chr: scaffold_505 pos:5263 chunknumber 31700
	-> Printing at chr: scaffold_505 pos:6788 chunknumber 31800
	-> Printing at chr: scaffold_505 pos:7520 chunknumber 31900
	-> Printing at chr: scaffold_505 pos:9267 chunknumber 32000
	-> Printing at chr: scaffold_505 pos:10900 chunknumber 32100
	-> Printing at chr: scaffold_505 pos:14259 chunknumber 32200
	-> Printing at chr: scaffold_505 pos:16996 chunknumber 32300
	-> Printing at chr: scaffold_505 pos:17501 chunknumber 32400
	-> Printing at chr: scaffold_505 pos:18728 chunknumber 32500
	-> Printing at chr: scaffold_505 pos:20022 chunknumber 32600
	-> Printing at chr: scaffold_505 pos:20667 chunknumber 32700
	-> Printing at chr: scaffold_505 pos:22188 chunknumber 32800
	-> Printing at chr: scaffold_505 pos:24874 chunknumber 32900
	-> Printing at chr: scaffold_505 pos:25346 chunknumber 33000
	-> Printing at chr: scaffold_505 pos:25717 chunknumber 33100
	-> Printing at chr: scaffold_505 pos:26124 chunknumber 33200
	-> Printing at chr: scaffold_505 pos:28005 chunknumber 33300
	-> Printing at chr: scaffold_505 pos:28494 chunknumber 33400
	-> Printing at chr: scaffold_505 pos:30474 chunknumber 33500
	-> Printing at chr: scaffold_505 pos:30862 chunknumber 33600
	-> Printing at chr: scaffold_505 pos:33358 chunknumber 33700
	-> Printing at chr: scaffold_505 pos:36531 chunknumber 33800
	-> Printing at chr: scaffold_505 pos:38842 chunknumber 33900
	-> Printing at chr: scaffold_505 pos:41579 chunknumber 34000
	-> Printing at chr: scaffold_505 pos:41970 chunknumber 34100
	-> Printing at chr: scaffold_505 pos:42330 chunknumber 34200
	-> Printing at chr: scaffold_505 pos:54879 chunknumber 34300
	-> Printing at chr: scaffold_505 pos:55023 chunknumber 34400
	-> Printing at chr: scaffold_505 pos:55466 chunknumber 34500
	-> Printing at chr: scaffold_505 pos:55879 chunknumber 34600
	-> Printing at chr: scaffold_505 pos:58105 chunknumber 34700
	-> Printing at chr: scaffold_505 pos:58490 chunknumber 34800
	-> Printing at chr: scaffold_505 pos:58594 chunknumber 34900
	-> Printing at chr: scaffold_505 pos:58878 chunknumber 35000
	-> Printing at chr: scaffold_505 pos:60266 chunknumber 35100
	-> Printing at chr: scaffold_505 pos:63220 chunknumber 35200
	-> Printing at chr: scaffold_505 pos:68480 chunknumber 35300
	-> Printing at chr: scaffold_505 pos:68845 chunknumber 35400
	-> Printing at chr: scaffold_505 pos:70106 chunknumber 35500
	-> Printing at chr: scaffold_505 pos:76170 chunknumber 35600
	-> Printing at chr: scaffold_505 pos:76668 chunknumber 35700
	-> Printing at chr: scaffold_505 pos:77033 chunknumber 35800
	-> Printing at chr: scaffold_505 pos:78278 chunknumber 35900
	-> Printing at chr: scaffold_505 pos:79269 chunknumber 36000
	-> Printing at chr: scaffold_505 pos:80432 chunknumber 36100
	-> Printing at chr: scaffold_505 pos:80946 chunknumber 36200
	-> Printing at chr: scaffold_505 pos:81298 chunknumber 36300
	-> Printing at chr: scaffold_505 pos:81805 chunknumber 36400
	-> Printing at chr: scaffold_505 pos:82167 chunknumber 36500
	-> Printing at chr: scaffold_505 pos:82727 chunknumber 36600
	-> Printing at chr: scaffold_505 pos:85430 chunknumber 36700
	-> Printing at chr: scaffold_505 pos:85831 chunknumber 36800
	-> Printing at chr: scaffold_505 pos:87648 chunknumber 36900
	-> Printing at chr: scaffold_505 pos:88523 chunknumber 37000
